ID,Age,Education,Neuroticism,Extraversion,Openness to experience,Agreeableness,Conscientiousness,Impulsiveness,Sensation seeking,Alcohol,Amphetamine,Amyl nitrite,Benzodiazepine,Caffeine,Cannabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal highs,LSD,Meth,Mushrooms,Nicotine,Semeron,Volatile substance abuse,Gender_Female,Gender_Male,Country_Australia,Country_Canada,Country_New Zealand,Country_Other,Country_Republic of Ireland,Country_UK,Country_USA,Ethnicity_Asian,Ethnicity_Black,Ethnicity_Mixed-Black/Asian,Ethnicity_Mixed-White/Asian,Ethnicity_Mixed-White/Black,Ethnicity_Other,Ethnicity_White
35,2,8,46,44,52,23,36,5,10,4,2,1,1,5,2,5,2,1,1,1,2,1,1,1,1,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
36,5,4,33,34,28,41,36,5,1,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
37,2,8,33,36,45,43,30,3,5,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
38,4,4,39,42,53,44,37,5,4,6,1,2,1,6,3,4,1,0,0,0,0,0,1,0,1,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
39,3,8,22,48,48,43,47,3,3,6,1,0,0,4,1,5,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
40,5,6,33,33,38,38,45,1,5,6,0,0,0,6,1,6,0,0,0,0,0,1,0,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
41,2,5,36,37,46,29,47,2,6,5,1,0,2,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
42,2,8,44,40,53,54,39,3,5,4,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
43,2,5,34,33,37,43,37,3,4,6,0,3,5,6,2,4,6,0,4,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
44,2,6,27,36,44,42,34,3,5,6,2,2,0,6,3,6,3,0,2,0,0,0,2,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
45,1,8,26,49,49,51,48,3,6,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
46,1,8,31,43,54,49,52,1,0,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
47,3,7,39,44,38,45,51,2,3,3,0,0,0,6,1,4,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
48,3,5,19,45,48,49,49,0,2,5,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
49,3,1,37,34,44,42,37,4,3,6,1,1,0,6,5,6,1,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50,1,5,44,36,32,37,44,5,9,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
51,2,5,46,39,45,35,42,2,3,6,1,2,1,6,3,6,2,0,3,0,0,2,1,0,3,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
52,3,6,47,46,42,37,27,8,10,2,1,1,1,6,2,6,1,0,0,0,0,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
53,4,8,34,40,36,45,36,5,1,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
54,3,5,23,39,53,45,44,3,5,5,1,1,0,6,1,5,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
55,4,1,36,47,42,36,33,7,9,6,0,0,0,6,2,6,6,0,3,0,0,3,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
56,4,6,36,35,38,40,39,1,0,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
57,2,7,36,40,34,43,44,1,1,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
58,1,8,30,44,32,45,47,2,4,1,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
59,3,3,38,44,46,40,39,8,9,5,1,1,0,6,5,5,5,2,3,1,3,3,1,0,2,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
60,3,8,31,31,37,32,41,1,1,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
61,1,0,49,42,48,41,40,1,6,5,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
62,3,5,18,50,54,44,50,1,2,5,1,0,0,4,1,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
63,1,8,30,30,33,34,45,1,2,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
64,3,8,46,38,41,39,42,1,2,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
65,3,0,22,43,53,40,48,1,4,6,1,0,1,6,6,5,4,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
66,2,7,43,43,40,50,46,5,5,5,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
67,3,1,26,35,38,51,45,2,2,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
68,1,5,32,38,53,37,41,6,5,5,1,1,0,6,2,5,1,0,0,0,0,0,1,0,1,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
69,2,6,27,40,48,42,40,3,6,5,1,1,0,5,2,6,3,0,2,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
70,3,1,35,35,34,45,42,1,3,6,0,0,6,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
71,1,7,32,38,47,30,40,5,8,6,2,1,0,4,2,6,3,0,3,0,2,2,2,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
72,3,3,31,47,44,50,43,0,3,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
73,3,3,22,46,46,46,48,4,7,6,1,1,0,6,1,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
74,3,6,29,36,44,45,49,2,5,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
75,5,1,25,27,26,33,44,5,0,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
76,1,8,34,41,35,38,39,5,5,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
77,3,2,32,35,35,46,46,0,0,4,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
78,2,8,37,28,42,35,39,3,0,3,1,0,0,6,2,5,1,0,1,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
79,2,7,28,34,31,32,25,0,2,6,0,1,0,6,1,5,1,0,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
80,2,6,32,34,32,50,37,3,5,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
81,5,0,36,42,49,42,51,3,5,6,0,0,3,6,1,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
82,4,8,28,31,46,37,41,6,7,5,1,1,1,6,2,6,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
83,4,5,19,49,39,47,51,3,2,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
84,4,2,46,33,38,52,29,4,5,3,0,0,5,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
85,3,1,32,41,44,41,41,1,6,5,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
86,1,3,31,40,35,44,45,5,9,3,0,1,0,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
87,2,7,43,39,38,44,41,3,7,5,0,1,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
88,4,1,27,41,43,41,44,2,7,5,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
89,2,7,39,26,36,38,38,1,0,3,0,1,1,6,2,6,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
90,2,5,45,36,48,39,40,5,5,5,1,1,2,6,0,5,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
91,2,5,49,42,51,45,36,1,6,6,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
92,2,6,40,37,51,45,47,6,8,2,0,0,3,6,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
93,1,3,22,38,43,45,42,2,3,4,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
94,5,1,34,34,39,48,45,1,1,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
95,3,5,29,36,39,47,41,1,0,5,0,0,3,6,2,5,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
96,3,5,31,42,53,32,49,5,5,6,1,1,1,6,1,6,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
97,2,8,37,32,48,42,47,1,1,4,1,0,0,6,2,6,1,0,0,0,0,0,1,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
98,3,5,31,44,44,39,33,4,3,5,1,0,1,6,1,5,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
99,2,0,25,37,46,39,48,3,9,4,1,0,0,6,1,4,1,0,0,0,0,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100,1,8,29,58,51,49,52,5,7,6,2,0,3,6,3,5,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
101,1,5,26,55,50,33,39,3,9,6,3,3,4,6,6,5,3,0,3,0,3,2,2,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
102,3,1,30,43,34,42,48,1,3,4,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
103,3,3,30,48,55,34,42,2,9,6,1,3,4,6,1,4,4,1,2,2,1,1,2,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
104,3,6,36,44,44,41,43,4,8,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
105,1,7,27,41,45,50,46,2,6,5,0,0,0,6,6,6,2,0,2,0,0,0,0,0,2,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
106,2,6,18,43,33,38,54,1,1,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
107,1,7,46,38,33,45,39,1,3,4,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
108,2,1,37,40,37,38,46,5,5,5,3,0,0,6,0,6,3,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
109,1,8,31,53,47,44,47,8,9,5,0,0,3,6,3,6,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
110,3,7,28,43,36,37,38,2,6,5,1,0,0,6,2,6,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
111,3,5,34,42,47,41,41,4,4,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
112,1,5,39,32,40,39,37,4,7,6,1,0,0,6,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
113,1,8,25,42,52,35,36,3,5,3,0,0,0,6,2,6,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
114,3,6,36,44,48,44,47,4,5,4,0,0,1,6,2,4,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
115,2,7,17,52,55,38,31,8,9,4,1,1,2,6,6,4,1,0,2,2,2,0,2,0,2,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
116,1,6,38,36,40,45,49,1,0,5,1,2,0,6,2,5,2,0,2,0,0,0,1,0,2,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
117,2,6,42,36,47,31,39,5,5,4,0,0,0,4,2,6,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
118,1,8,51,45,55,44,33,5,7,5,1,1,3,6,1,5,3,0,3,2,2,2,2,0,3,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
119,2,7,53,26,29,50,44,3,1,5,0,0,6,6,1,6,0,0,0,0,0,0,1,1,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
120,2,8,32,44,39,45,51,3,3,5,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
121,1,5,26,44,39,36,47,4,10,6,1,0,0,6,1,6,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
122,2,6,50,31,35,29,36,5,6,2,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
123,4,5,38,41,45,41,35,3,4,6,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
124,1,8,38,35,43,43,43,7,6,5,1,0,0,6,3,5,2,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
125,3,1,32,52,48,46,46,3,5,3,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
126,4,8,31,48,49,44,49,5,7,6,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
127,3,8,25,44,38,40,42,3,3,5,1,1,0,5,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
128,3,2,32,34,40,45,48,1,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
129,2,0,36,44,47,44,44,3,2,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
130,3,5,28,46,38,49,45,4,7,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
131,3,1,45,42,36,46,55,2,2,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
132,3,1,22,39,37,57,46,1,0,4,0,0,2,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
133,2,3,33,36,42,42,44,1,1,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
134,2,5,35,41,48,42,43,5,7,5,0,0,1,6,1,5,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
135,1,5,60,29,44,47,37,1,7,6,1,0,0,6,1,6,2,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
136,2,1,21,50,42,54,52,5,4,1,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
137,3,8,34,38,34,54,52,7,6,5,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
138,3,8,25,50,48,48,45,0,2,4,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
139,4,8,31,34,47,45,48,1,2,6,0,0,4,6,1,6,0,0,0,0,0,0,0,2,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
140,3,1,35,42,42,49,40,3,5,6,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
141,1,8,54,42,55,49,40,2,5,5,0,0,2,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
142,2,1,28,44,38,51,46,1,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
143,2,2,31,38,37,45,41,5,7,6,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
144,2,6,21,48,42,51,54,2,4,1,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
145,3,6,37,32,43,35,42,3,8,6,0,0,0,6,3,5,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
146,3,8,31,41,38,56,47,7,7,4,0,0,1,6,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
147,4,6,38,31,45,40,40,4,2,6,0,0,1,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
148,2,5,30,43,41,44,48,3,4,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
149,2,6,35,32,28,37,44,1,1,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
