ID,Age,Gender,Education,Country,Ethnicity,Neuroticism,Extraversion,Openness to experience,Agreeableness,Conscientiousness,Impulsiveness,Sensation seeking,Alcohol,Amphetamine,Amyl nitrite,Benzodiazepine,Caffeine,Cannabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal highs,LSD,Meth,Mushrooms,Nicotine,Semeron,Volatile substance abuse
61,25-34,Female,Doctorate degree,UK,White,37,25,22,21,22,1,6,5,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
62,45-54,Male,Masters degree,UK,Asian,6,33,28,24,32,1,2,5,1,0,0,4,1,5,0,0,0,0,0,0,0,0,1,0,0,1
63,25-34,Male,University degree,UK,White,18,13,7,14,27,1,2,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,0
64,45-54,Male,University degree,UK,White,34,21,15,19,24,1,2,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
65,45-54,Male,Doctorate degree,UK,White,10,26,27,20,30,1,4,6,1,0,1,6,6,5,4,0,0,0,0,0,1,0,1,1,0,0
66,35-44,Male,"Some college or university, no certificate or degree",UK,White,31,26,14,30,28,5,5,5,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
67,45-54,Male,Left school at 16 years,UK,White,14,18,12,31,27,2,2,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
68,25-34,Male,Masters degree,UK,White,20,21,27,17,23,6,5,5,1,1,0,6,2,5,1,0,0,0,0,0,1,0,1,5,0,0
69,35-44,Male,Professional certificate/ diploma,Other,White,15,23,22,22,22,3,6,5,1,1,0,5,2,6,3,0,2,0,1,1,1,0,1,1,0,0
70,45-54,Female,Left school at 16 years,UK,White,23,18,8,25,24,1,3,6,0,0,6,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0
71,25-34,Male,"Some college or university, no certificate or degree",UK,White,20,21,21,10,22,5,8,6,2,1,0,4,2,6,3,0,3,0,2,2,2,0,0,2,0,1
72,45-54,Female,Left school at 18 years,Canada,White,19,30,18,30,25,0,3,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0
73,45-54,Male,Left school at 18 years,UK,White,10,29,20,26,30,4,7,6,1,1,0,6,1,5,0,0,0,0,0,0,0,0,0,2,0,0
74,45-54,Male,Professional certificate/ diploma,UK,White,17,19,18,25,31,2,5,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
75,65+,Female,Left school at 16 years,UK,White,13,10,1,13,26,5,0,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
76,25-34,Male,University degree,UK,White,22,24,9,18,21,5,5,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
77,45-54,Female,Left school at 17 years,Canada,White,20,18,9,26,28,0,0,4,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0
78,35-44,Male,University degree,UK,White,25,11,16,15,21,3,0,3,1,0,0,6,2,5,1,0,1,0,0,0,1,0,0,6,0,0
79,35-44,Male,"Some college or university, no certificate or degree",UK,White,16,17,5,12,7,0,2,6,0,1,0,6,1,5,1,0,1,0,0,0,0,0,0,3,0,1
80,35-44,Male,Professional certificate/ diploma,UK,White,20,17,6,30,19,3,5,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
81,65+,Female,Doctorate degree,Canada,White,24,25,23,22,33,3,5,6,0,0,3,6,1,5,1,0,0,0,0,0,0,0,0,0,0,0
82,55-64,Female,University degree,UK,White,16,14,20,17,23,6,7,5,1,1,1,6,2,6,1,0,0,1,0,0,1,1,1,1,0,0
83,55-64,Male,Masters degree,Canada,White,7,32,13,27,33,3,2,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
84,55-64,Female,Left school at 17 years,UK,Mixed-White/Black,34,16,12,32,11,4,5,3,0,0,5,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0
85,45-54,Male,Left school at 16 years,UK,White,20,24,18,21,23,1,6,5,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0
86,25-34,Female,Left school at 18 years,UK,White,19,23,9,24,27,5,9,3,0,1,0,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0
87,35-44,Male,"Some college or university, no certificate or degree",UK,White,31,22,12,24,23,3,7,5,0,1,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0
88,55-64,Male,Left school at 16 years,UK,White,15,24,17,21,26,2,7,5,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0
89,35-44,Female,"Some college or university, no certificate or degree",UK,White,27,9,10,18,20,1,0,3,0,1,1,6,2,6,0,0,0,0,0,0,0,0,1,1,0,0
90,35-44,Female,Masters degree,UK,White,33,19,22,19,22,5,5,5,1,1,2,6,0,5,0,0,0,0,0,0,1,0,1,0,0,1
91,35-44,Female,Masters degree,UK,White,37,25,25,25,18,1,6,6,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,4,0,0
92,35-44,Male,Professional certificate/ diploma,Canada,White,28,20,25,25,29,6,8,2,0,0,3,6,1,0,0,0,0,0,0,0,1,0,1,1,0,0
93,25-34,Male,Left school at 18 years,UK,White,10,21,17,25,24,2,3,4,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,1,0,0
94,65+,Female,Left school at 16 years,UK,White,22,17,13,28,27,1,1,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
95,45-54,Male,Masters degree,UK,White,17,19,13,27,23,1,0,5,0,0,3,6,2,5,0,0,0,0,0,0,0,0,0,3,0,0
96,45-54,Male,Masters degree,UK,White,19,25,27,12,31,5,5,6,1,1,1,6,1,6,1,0,0,0,0,0,1,0,1,1,0,0
97,35-44,Female,University degree,Canada,White,25,15,22,22,29,1,1,4,1,0,0,6,2,6,1,0,0,0,0,0,1,0,1,3,0,0
98,45-54,Female,Masters degree,UK,White,19,27,18,19,15,4,3,5,1,0,1,6,1,5,1,0,0,0,0,0,0,0,0,2,0,0
99,35-44,Male,Doctorate degree,Canada,White,13,20,20,19,30,3,9,4,1,0,0,6,1,4,1,0,0,0,0,0,1,0,1,2,0,0
100,25-34,Female,University degree,UK,White,17,40,25,29,34,5,7,6,2,0,3,6,3,5,0,0,1,0,0,0,0,0,0,5,0,0
101,25-34,Male,Masters degree,Other,White,14,38,24,13,21,3,9,6,3,3,4,6,6,5,3,0,3,0,3,2,2,0,3,0,0,0
102,45-54,Female,Left school at 16 years,Australia,White,18,26,8,22,30,1,3,4,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0
103,45-54,Male,Left school at 18 years,UK,White,18,31,29,14,24,2,9,6,1,3,4,6,1,4,4,1,2,2,1,1,2,0,2,1,0,0
104,45-54,Female,Professional certificate/ diploma,Canada,White,24,27,18,21,25,4,8,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
105,25-34,Female,"Some college or university, no certificate or degree",Canada,White,15,24,19,30,28,2,6,5,0,0,0,6,6,6,2,0,2,0,0,0,0,0,2,6,0,0
106,35-44,Male,Professional certificate/ diploma,UK,White,6,26,7,18,36,1,1,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
107,25-34,Female,"Some college or university, no certificate or degree",UK,White,34,21,7,25,21,1,3,4,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
108,35-44,Female,Left school at 16 years,UK,White,25,23,11,18,28,5,5,5,3,0,0,6,0,6,3,0,0,0,0,0,0,0,0,6,0,0
109,25-34,Female,University degree,UK,White,19,36,21,24,29,8,9,5,0,0,3,6,3,6,4,0,0,0,0,0,0,0,0,1,0,0
110,45-54,Female,"Some college or university, no certificate or degree",UK,White,16,26,10,17,20,2,6,5,1,0,0,6,2,6,0,0,0,0,0,0,0,0,0,3,0,0
111,45-54,Male,Masters degree,UK,Asian,22,25,21,21,23,4,4,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
112,25-34,Male,Masters degree,UK,White,27,15,14,19,19,4,7,6,1,0,0,6,3,0,0,0,0,0,0,0,1,0,1,0,0,0
113,25-34,Female,University degree,UK,White,13,25,26,15,18,3,5,3,0,0,0,6,2,6,0,0,0,0,0,0,0,0,0,6,0,0
114,45-54,Female,Professional certificate/ diploma,UK,White,24,27,22,24,29,4,5,4,0,0,1,6,2,4,0,0,0,0,0,0,0,0,0,6,0,0
115,35-44,Male,"Some college or university, no certificate or degree",UK,White,5,35,29,18,13,8,9,4,1,1,2,6,6,4,1,0,2,2,2,0,2,0,2,6,0,0
116,25-34,Female,Professional certificate/ diploma,Canada,White,26,19,14,25,31,1,0,5,1,2,0,6,2,5,2,0,2,0,0,0,1,0,2,6,0,0
117,35-44,Male,Professional certificate/ diploma,Canada,White,30,19,21,11,21,5,5,4,0,0,0,4,2,6,0,0,0,0,0,0,0,0,0,6,0,0
118,25-34,Female,University degree,UK,White,39,28,29,24,15,5,7,5,1,1,3,6,1,5,3,0,3,2,2,2,2,0,3,4,0,0
119,35-44,Female,"Some college or university, no certificate or degree",USA,White,41,9,3,30,26,3,1,5,0,0,6,6,1,6,0,0,0,0,0,0,1,1,0,6,0,0
120,35-44,Female,University degree,UK,White,20,27,13,25,33,3,3,5,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,2,0,0
121,25-34,Female,Masters degree,UK,White,14,27,13,16,29,4,10,6,1,0,0,6,1,6,0,0,0,0,0,0,1,0,1,2,0,0
122,35-44,Female,Professional certificate/ diploma,UK,White,38,14,9,9,18,5,6,2,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0
123,55-64,Male,Masters degree,UK,White,26,24,19,21,17,3,4,6,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,1,0,0
124,25-34,Female,University degree,UK,White,26,18,17,23,25,7,6,5,1,0,0,6,3,5,2,0,0,0,0,0,0,0,0,3,0,1
125,45-54,Male,Left school at 16 years,UK,White,20,35,22,26,28,3,5,3,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
126,55-64,Male,University degree,UK,White,19,31,23,24,31,5,7,6,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,2,0,0
127,45-54,Male,University degree,UK,White,13,27,12,20,24,3,3,5,1,1,0,5,1,5,0,0,0,0,0,0,0,0,1,0,0,0
128,45-54,Female,Left school at 17 years,UK,White,20,17,14,25,30,1,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
129,35-44,Male,Doctorate degree,UK,Asian,24,27,21,24,26,3,2,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0
130,45-54,Female,Masters degree,UK,White,16,29,12,29,27,4,7,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
131,45-54,Female,Left school at 16 years,UK,White,33,25,10,26,37,2,2,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
132,45-54,Female,Left school at 16 years,UK,Other,10,22,11,37,28,1,0,4,0,0,2,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0
133,35-44,Female,Left school at 18 years,Republic of Ireland,White,21,19,16,22,26,1,1,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0
134,35-44,Male,Masters degree,UK,White,23,24,22,22,25,5,7,5,0,0,1,6,1,5,0,0,0,0,0,0,0,0,0,5,0,0
135,25-34,Female,Masters degree,UK,Mixed-White/Asian,48,12,18,27,19,1,7,6,1,0,0,6,1,6,2,0,0,0,0,0,0,0,0,2,0,1
136,35-44,Female,Left school at 16 years,UK,White,9,33,16,34,34,5,4,1,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
137,45-54,Female,University degree,UK,White,22,21,8,34,34,7,6,5,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0
138,45-54,Female,University degree,UK,White,13,33,22,28,27,0,2,4,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0
139,55-64,Male,University degree,UK,White,19,17,21,25,30,1,2,6,0,0,4,6,1,6,0,0,0,0,0,0,0,2,0,6,0,0
140,45-54,Male,Left school at 16 years,UK,White,23,25,16,29,22,3,5,6,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0
141,25-34,Female,University degree,UK,Asian,42,25,29,29,22,2,5,5,0,0,2,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
142,35-44,Female,Left school at 16 years,UK,White,16,27,12,31,28,1,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0
143,35-44,Male,Left school at 17 years,UK,White,19,21,11,25,23,5,7,6,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,3,0,0
144,35-44,Male,Professional certificate/ diploma,UK,Black,9,31,16,31,36,2,4,1,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
145,45-54,Male,Professional certificate/ diploma,Canada,White,25,15,17,15,24,3,8,6,0,0,0,6,3,5,0,0,0,0,0,0,1,0,1,1,0,1
146,45-54,Female,University degree,UK,White,19,24,12,36,29,7,7,4,0,0,1,6,1,5,0,0,0,0,0,0,0,0,0,1,0,0
147,55-64,Male,Professional certificate/ diploma,UK,White,26,14,19,20,22,4,2,6,0,0,1,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0
148,35-44,Male,Masters degree,UK,Black,18,26,15,24,30,3,4,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
149,35-44,Female,Professional certificate/ diploma,UK,White,23,15,2,17,26,1,1,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
150,45-54,Female,University degree,UK,White,16,35,15,35,34,3,2,4,0,0,0,3,2,6,0,0,0,0,0,0,0,0,0,1,0,0
151,35-44,Female,"Some college or university, no certificate or degree",UK,White,21,31,21,27,31,4,6,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
152,35-44,Female,University degree,UK,White,29,11,7,26,17,2,3,5,0,0,0,6,2,6,0,0,2,0,0,0,0,0,0,2,0,0
153,25-34,Female,University degree,UK,White,19,12,15,19,19,0,1,5,0,1,2,6,2,4,1,0,1,0,0,2,0,0,1,5,0,0
154,25-34,Male,University degree,UK,White,17,29,8,28,29,3,4,6,0,1,0,4,1,6,0,0,0,0,0,0,0,0,0,1,0,0
155,18-24,Female,"Some college or university, no certificate or degree",UK,White,47,13,25,20,28,3,8,5,0,0,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
156,35-44,Female,University degree,UK,Black,30,13,11,25,22,2,3,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
157,35-44,Female,"Some college or university, no certificate or degree",UK,White,36,23,18,30,25,4,4,5,2,1,1,6,2,6,2,0,0,0,0,0,0,0,0,5,0,0
158,25-34,Male,Left school at 16 years,UK,White,14,30,7,20,29,3,8,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
159,35-44,Female,University degree,Australia,White,21,24,18,21,27,6,9,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
160,45-54,Female,"Some college or university, no certificate or degree",UK,Black,19,19,16,24,26,3,2,4,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
161,45-54,Male,Masters degree,Other,White,34,28,23,22,26,3,7,5,1,1,1,6,6,6,1,0,2,0,0,0,1,0,1,3,0,0
162,35-44,Male,University degree,UK,Black,17,25,14,34,21,2,2,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,4,0,0
163,25-34,Female,University degree,New Zealand,White,26,23,19,33,30,1,5,3,0,0,0,5,2,6,0,0,2,0,0,2,0,0,0,1,0,0
164,25-34,Female,"Some college or university, no certificate or degree",UK,White,41,23,18,29,25,3,3,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0
165,25-34,Female,Doctorate degree,UK,White,25,25,9,32,31,1,4,3,1,0,0,3,1,6,0,0,0,0,0,0,0,0,0,1,0,0
166,45-54,Male,Masters degree,UK,White,21,21,18,20,34,1,3,6,0,0,0,6,1,5,0,0,0,0,0,0,0,0,1,0,0,0
167,18-24,Male,"Some college or university, no certificate or degree",UK,White,38,14,25,7,9,6,6,5,0,0,0,5,4,5,3,3,0,0,0,2,0,0,3,6,0,3
168,25-34,Female,Professional certificate/ diploma,UK,Black,24,23,13,20,30,5,4,2,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0
169,25-34,Female,University degree,UK,White,26,31,11,21,15,5,7,5,0,0,0,6,0,6,2,0,0,0,0,0,0,0,0,1,0,0
170,18-24,Female,Left school at 18 years,UK,White,20,23,10,27,23,2,7,5,0,3,0,6,0,5,0,0,0,0,0,0,0,0,0,4,0,0
171,45-54,Male,Left school at 16 years,UK,White,37,21,18,24,23,6,7,2,1,1,3,6,2,5,2,0,0,0,0,0,0,3,0,1,0,0
172,35-44,Male,Masters degree,UK,White,20,29,32,28,18,7,10,6,0,1,0,6,1,6,0,0,0,0,0,0,0,0,1,1,0,0
173,45-54,Female,Professional certificate/ diploma,UK,White,29,19,17,20,29,4,2,5,0,0,0,6,2,6,0,0,0,0,0,0,1,0,1,5,0,0
174,35-44,Female,University degree,UK,White,34,27,28,24,26,5,7,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
175,35-44,Female,Professional certificate/ diploma,UK,White,34,19,4,28,12,6,6,6,0,0,2,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0
176,55-64,Female,University degree,UK,White,30,23,23,31,25,4,6,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,3,0,0
177,35-44,Female,University degree,UK,Other,22,19,14,15,20,1,2,3,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0
178,35-44,Female,University degree,UK,White,38,23,11,17,31,2,4,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
179,45-54,Female,University degree,UK,White,32,16,17,28,23,4,5,5,1,0,0,6,1,6,0,0,0,0,0,0,0,0,1,6,0,0
180,35-44,Female,Professional certificate/ diploma,UK,White,28,22,13,30,19,1,2,5,1,0,0,6,2,4,1,0,1,0,0,0,1,0,1,6,0,0
181,45-54,Female,Professional certificate/ diploma,UK,White,27,27,9,25,30,4,6,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,2,0,0
182,25-34,Male,Doctorate degree,UK,White,12,20,18,27,30,2,2,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
183,35-44,Female,"Some college or university, no certificate or degree",UK,White,27,28,18,31,29,1,2,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
